PropertyID,Area,Plate,Module,HousingName,Issue,Fromusername,PropertyType,Zipcode,Location,UpdateTime,OtherAddress,SamplePro,Street,Scenery,East,South,West,North,BuildYear,Address,ProAttribute,Committee,School,UnlikeReason,ProcessFlg,DeleteFlg,UpdateUser
1,嘉定,安亭汽车城,外郊环,澳丽映象嘉园,,,住宅,201805,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,普陀,武宁,内环内,浅水湾恺悦名城,,,综合社区,200060,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,徐汇,徐汇中心,内环内,青松小区,,,住宅,200032,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,浦东,洋泾,内环内,巨洋小区,NULL,NULL,住宅,200135,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,金山,石化,外郊环,海趣馨苑,,,住宅,200540,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,长宁,中山公园,内环内,易园,,,住宅,200050,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,黄浦,老西门,内环内,旺角广场,,,写字楼,200002,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,黄浦,老西门,内环内,瑞福大楼,,,商住楼,200021,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,虹口,曲阳,内中环,中山北一路865弄,,,住宅,200083,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,虹口,曲阳,内中环,中山北一路805号,,,住宅,200083,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,虹口,四川北路,内环内,大二小区,,,住宅,200092,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,虹口,北外滩,内环内,恒升半岛国际中心,,外滩自由自宅,住宅,200080,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,闵行,七宝,外郊环,沪江园区,NULL,,住宅,201105,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,普陀,武宁,内环内,锦绿新城,一期|二期,|,住宅,200063,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,普陀,武宁,内环内,绿地世纪城,NULL,绿地世家,综合社区,200063,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,普陀,桃浦,中外环,安达家园,,桃源富邦,住宅,200331,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,青浦,徐泾,外郊环,绿中海明苑,一期|二期,|梦公元,住宅,201702,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,静安,不夜城,内环内,黄山路260号,,,住宅,200070,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,虹口,曲阳,内中环,海叶新苑,,虹口宜家,住宅,200083,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,虹口,曲阳,内中环,久业家苑,,,住宅,200083,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,虹口,曲阳,内中环,广中路561弄,,,住宅,200083,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,浦东,金桥,中外环,利津小区,,,住宅,200129,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,浦东,金桥,中外环,浦东大道3036弄,,,住宅,200129,NULL,2015/12/11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
