PropertyID,Area,Plate,Module,HousingName,Issue,Fromusername,PropertyType,Zipcode,Location,UpdateTime
1,嘉定,安亭汽车城,外环以外,澳丽映象嘉园,,,住宅,201805,,2015-12-11 00:00:00.000
2,普陀,武宁,内环以内,浅水湾恺悦名城,,,综合社区,200060,,2015-12-11 00:00:00.000
3,徐汇,徐汇中心,内环以内,青松小区,,,住宅,200032,,2015-12-11 00:00:00.000
4,浦东,洋泾,内环以内,巨洋小区,,,住宅,200135,,2015-12-11 00:00:00.000
5,金山,石化,外环以外,海趣馨苑,,,住宅,200540,,2015-12-11 00:00:00.000
6,长宁,中山公园,内环以内,易园,,,住宅,200050,,2015-12-11 00:00:00.000
7,黄浦,老西门,内环以内,旺角广场,,,写字楼,200002,,2015-12-11 00:00:00.000
8,黄浦,老西门,内环以内,瑞福大楼,,,商住楼,200021,,2015-12-11 00:00:00.000
9,虹口,曲阳,内中环间,中山北一路865弄,,,住宅,200083,,2015-12-11 00:00:00.000
10,虹口,曲阳,内中环间,中山北一路805号,,,住宅,200083,,2015-12-11 00:00:00.000
11,虹口,四川北路,内环以内,大二小区,,,住宅,200092,,2015-12-11 00:00:00.000
12,虹口,北外滩,内环以内,恒升半岛国际中心,,外滩自由自宅,住宅,200080,,2015-12-11 00:00:00.000
13,闵行,七宝,外环以外,沪江园区,,,住宅,201105,,2015-12-11 00:00:00.000
14,普陀,武宁,内环以内,锦绿新城,一期|二期,|,住宅,200063,,2015-12-11 00:00:00.000
15,普陀,武宁,内环以内,绿地世纪城,,绿地世家,综合社区,200063,,2015-12-11 00:00:00.000
18,普陀,桃浦,中外环间,安达家园,,桃源富邦,住宅,200331,,2015-12-11 00:00:00.000
19,青浦,徐泾,外环以外,绿中海明苑,一期|二期,|梦公元,住宅,201702,,2015-12-11 00:00:00.000
20,静安,不夜城,内环以内,黄山路260号,,,住宅,200070,,2015-12-11 00:00:00.000
21,虹口,曲阳,内中环间,海叶新苑,,虹口宜家,住宅,200083,,2015-12-11 00:00:00.000
22,虹口,曲阳,内中环间,久业家苑,,,住宅,200083,,2015-12-11 00:00:00.000
23,虹口,曲阳,内中环间,广中路561弄,,,住宅,200083,,2015-12-11 00:00:00.000
24,浦东,金桥,中外环间,利津小区,,,住宅,200129,,2015-12-11 00:00:00.000
25,浦东,金桥,中外环间,浦东大道3036弄,,,住宅,200129,,2015-12-11 00:00:00.000
26,静安,大宁,内中环间,大宁路660弄,,,综合社区,200072,,2015-12-11 00:00:00.000
27,浦东,联洋,内环以内,金鹰大厦,,,综合社区,200135,,2015-12-11 00:00:00.000
28,浦东,浦东世博,内中环间,沂南小区,,,住宅,200125,,2015-12-11 00:00:00.000
29,虹口,北外滩,内环以内,百福小区,,,住宅,200080,,2015-12-11 00:00:00.000
30,长宁,西郊,中外环间,檀香别墅,,,别墅,200336,,2015-12-11 00:00:00.000
31,静安,江宁路,内环以内,句容小区,,,住宅,200041,,2015-12-11 00:00:00.000
